Classifier,Mean Acc,Std Acc,mean P Micro,std P micro,mean R Micro,std R micro,mean f1  Micro,std f1 micro,mean P Macro,std P macro,mean R Macro,std R macro,mean f1 Macro,std f1 macro,mean P weighted,std P wghtd,mean R wgtd,std R wgtd,mean f1 wgtd,std f1 wgtd
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=10, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8928571429,0.131707778,0.8928571429,0.131707778,0.8928571429,0.131707778,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=20, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8892935292,0.1366398745,0.8928571429,0.131707778,0.8909568261,0.1343133208,0.9338744971,0.0810268376,0.935483871,0.0790157982,0.9346256634,0.0800783811
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=30, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.8525974026,0.1298167278,0.8428571429,0.1289676435,0.8444718117,0.1297830677,0.9323558162,0.0829943686,0.9032258065,0.0790157982,0.9121987393,0.0748272958
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=40, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.903,0.0792012413,0.903,0.0792012413,0.903,0.0792012413,0.903,0.0792012413,0.8327461894,0.1588593866,0.8247083333,0.1501468957,0.8252055236,0.1550278542,0.9244970742,0.0939610469,0.903,0.0792012413,0.9074174859,0.0803994919
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=50, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9029677419,0.0792279079,0.9029677419,0.0792279079,0.9029677419,0.0792279079,0.9029677419,0.0792279079,0.8205711371,0.1787214844,0.8107777778,0.1699068735,0.8123474213,0.17460521,0.9253057925,0.0927489887,0.9029677419,0.0792279079,0.9079656389,0.0797084448
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.8018103571,0.2112048324,0.8071590909,0.2014127759,0.804228473,0.2067403433,0.9250661876,0.0931011177,0.9350645161,0.0792017669,0.9296093223,0.0864494291
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=3,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=200, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.9350645161,0.0792017669,0.8012522623,0.2121966193,0.8071590909,0.2014127759,0.8039418795,0.2072463234,0.9239663994,0.0947330438,0.9350645161,0.0792017669,0.9290439335,0.0872288067
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=10, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8928571429,0.131707778,0.8928571429,0.131707778,0.8928571429,0.131707778,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=20, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.935483871,0.0790157982,0.8892935292,0.1366398745,0.8928571429,0.131707778,0.8909568261,0.1343133208,0.9338744971,0.0810268376,0.935483871,0.0790157982,0.9346256634,0.0800783811
"XGBClassifier(base_score=0.5, booster=None, colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
              importance_type='gain', interaction_constraints=None,
              learning_rate=0.300000012, max_delta_step=0, max_depth=4,
              min_child_weight=1, missing=nan, monotone_constraints=None,
              n_estimators=30, n_jobs=0, num_parallel_tree=1,
              objective='multi:softprob', random_state=0, reg_alpha=0,
              reg_lambda=1, scale_pos_weight=None, subsample=1,
              tree_method=None, validate_parameters=False, verbosity=None)",0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.9032258065,0.0790157982,0.8525974026,0.1298167278,0.8428571429,0.1289676435,0.8444718117,0.1297830677,0.9323558162,0.0829943686,0.9032258065,0.0790157982,0.9121987393,0.0748272958
